CountryName,year,gdp_per_capita,gini_index,education_spending,urbanization_rate,unemployment_rate
"Korea, Rep.",2012,26600.5477433903,31.6,,81.9087898200378,2.812
"Korea, Rep.",2019,33826.9443301597,33.2,4.41813993453979,81.2901063535619,3.746
Kosovo,2012,3410.65550749316,29.0,,38.2296959226488,
Kosovo,2019,4415.99923011071,40.2,,44.0002171565695,
Kuwait,2012,52155.2225833921,,,100.0,2.227
Kuwait,2019,31707.8737443551,,6.72789551402991,100.0,2.213
Kyrgyz Republic,2012,1168.62244675446,27.4,7.38423013687134,35.218916221918,3.786
Kyrgyz Republic,2019,1421.99927504102,29.7,5.0802698135376,34.8805205758044,5.45
Lao PDR,2012,1563.5650771337,36.0,1.82147002220154,31.7422801040872,1.208
Lao PDR,2019,2589.32081035237,,2.12201393748998,35.9072880879451,2.531
Late-demographic dividend,2012,8073.2094428812,,4.38928008079529,57.8070692828074,5.02938218164513
Late-demographic dividend,2019,10120.3125161359,,4.26779985427856,64.6307387465605,5.19591640696366
Latin America & Caribbean,2012,10330.3504679629,,4.76829504966736,78.7697906096959,6.42118292240463
Latin America & Caribbean,2019,8539.39776066424,,4.51068019866943,80.2273019080141,8.00061467672947
Latin America & Caribbean (excluding high income),2012,9823.2489447351,,4.88349008560181,78.0274964256144,6.34500302860845
Latin America & Caribbean (excluding high income),2019,8282.78290882792,,4.51068019866943,79.6346434391868,8.09033318956351
Latin America & the Caribbean (IDA & IBRD countries),2012,10263.4820243547,,4.65310001373291,78.7047750052812,6.43477941830029
Latin America & the Caribbean (IDA & IBRD countries),2019,8362.63429845968,,4.51068019866943,80.2043693016899,8.10633851896146
Latvia,2012,13329.3499931271,35.2,6.83852005004883,67.8331638942219,15.047
Latvia,2019,17294.9751600969,34.5,4.58675003051758,68.066323694246,6.312
Least developed countries: UN classification,2012,947.489031265643,,2.63756990432739,30.7716900531857,4.84447014073901
Least developed countries: UN classification,2019,1105.24693378698,,2.90405352345344,33.9602697628177,4.87319739899668
Lebanon,2012,8406.98405608118,,2.14902997016907,88.0195066808075,7.952
Lebanon,2019,8905.88005497437,,2.51957250612723,89.4986743521503,11.301
Lesotho,2012,1217.93071228944,,,29.8970340055453,15.761
Lesotho,2019,1082.05706777516,,,38.6040920446259,16.876
Liberia,2012,638.368751462083,,1.77711999416351,49.1773247639526,2.146
Liberia,2019,658.164180770507,,2.16508193926132,52.85526226447,3.071
Libya,2012,14975.8902795144,,,88.0727920532227,19.03
Libya,2019,9963.19489084483,,,87.8220115209342,19.087
Liechtenstein,2012,148842.035144342,,,14.4124545370445,
Liechtenstein,2019,166907.839305016,,,14.6070830005951,
Lithuania,2012,14288.1853493139,35.1,4.78232002258301,66.8536758422852,13.365
Lithuania,2019,19608.7943945553,35.3,3.9415500164032,67.245735168457,6.255
Low & middle income,2012,4133.76162366082,,3.63716008451231,47.1624760462192,5.79670311681129
Low & middle income,2019,4943.24879858439,,3.5652113035233,51.3919045639979,5.84822511373103
Low income,2012,773.887672422173,,2.56641087807744,32.6854591692447,5.71453832728629
Low income,2019,645.998249720369,,3.01338389897728,35.2627989918991,5.63457466701478
Lower middle income,2012,1701.13738449151,,3.78125124759312,36.6627181194957,6.08020530585294
Lower middle income,2019,2228.84805859217,,3.40748649142134,39.5561176956246,5.61087685860008
Luxembourg,2012,112584.676270958,34.3,3.87815999984741,89.4405768017292,5.03
Luxembourg,2019,112696.649059674,34.2,3.73705005645752,93.2589839734767,5.592
"Macao SAR, China",2012,76058.0224963659,,3.32516002655029,100.0,1.97
"Macao SAR, China",2019,81882.6964523869,,3.0654399394989,100.0,1.73
Madagascar,2012,493.511162904211,42.6,2.34067010879517,28.3988032871081,0.599
Madagascar,2019,499.818837622534,,3.01338389897728,30.3046972370204,2.479
Malawi,2012,558.46208832772,,2.52861185625253,15.6253133040464,4.949
Malawi,2019,580.889139762475,38.5,,16.1383746619001,4.964
Malaysia,2012,10600.5744240026,,5.73902988433838,71.9680127926087,3.04
Malaysia,2019,10920.191763972,,4.15775012969971,74.8377707734042,3.33
Maldives,2012,7461.29703686309,,3.34085988998413,37.475963433544,9.134
Maldives,2019,11740.2724029785,29.3,4.12356944795488,40.0492764783282,4.562
Mali,2012,872.506092465564,,2.90706992149353,24.1606168848588,1.462
Mali,2019,971.949318638092,,3.00001001358032,28.3520715749509,3.29
Malta,2012,22878.3130866521,29.4,6.24788999557495,94.3626256493653,6.203
Malta,2019,32421.9179752262,31.0,4.79941987991333,94.9332032524644,4.08
Marshall Islands,2012,3514.26515490383,,,74.2705132518924,
Marshall Islands,2019,5292.33985502306,35.5,9.88208961486816,76.9422712042154,
Mauritania,2012,1859.11733247641,,2.15821003913879,48.2732447351525,9.864
