CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Bulgaria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",10,‡
Bulgaria,Trans people,Non-binary,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",90,‡
Bulgaria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Cross-dresser,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Genderqueer,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Gender-fluid,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Agender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Bulgaria,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Bulgaria,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Bulgaria,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Bulgaria,Trans people,Polygender,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Trans woman,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
Cyprus,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",:, [1] 
Cyprus,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",:, [1] 
Cyprus,Trans people,Trans man,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",:, [1] 
Cyprus,Trans people,Trans person,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",:, [1] 
